,Depth CSF-B (m),Bulk density (GRA)
1052,7.505,1.505
1053,7.522,1.525
1054,7.525,1.4580000000000002
1055,7.53,1.5390000000000001
1056,7.53,1.5759999999999998
1057,7.547000000000001,1.589
1058,7.55,1.5130000000000001
1059,7.555,1.5319999999999998
1060,7.555,1.641
1061,7.571000000000001,1.679
1062,7.575,1.4380000000000002
1063,7.58,1.558
1064,7.58,1.7790000000000001
1065,7.596,1.4780000000000002
1066,7.6,1.37
1067,7.605,1.704
1068,7.605,1.835
1069,7.62,1.464
1070,7.625,1.38
1071,7.63,1.87
1072,7.63,1.844
1073,7.645,0.741
1074,7.649,1.3769999999999998
1075,7.654,1.682
1076,7.655,1.5119999999999998
1077,7.6610000000000005,1.409
1078,7.6739999999999995,1.3780000000000001
1079,7.678999999999999,1.425
1080,7.68,1.456
1081,7.686,1.446
1082,7.699,1.395
1083,7.704,1.508
1084,7.707999999999999,1.587
1085,7.71,1.419
1086,7.724,1.415
1087,7.729,1.4809999999999999
1088,7.733,1.694
1089,7.735,1.44
1090,7.749,1.405
1091,7.754,1.6059999999999999
1092,7.757999999999999,1.6280000000000001
1093,7.7589999999999995,1.443
1094,7.774,1.432
1095,7.779,1.713
1096,7.7829999999999995,1.663
1097,7.784,1.462
1098,7.7989999999999995,1.4769999999999999
